0,1,2,3,4,5
Как с латинского языка переводится название острова Капри,овечий остров,коровий остров,козий остров,свиной остров,3
Какие рыбы были изображены на гербе Царицына который утвердил Николай I,Сомы,Щуки,Стерляди,Лещи,3
Кто является единственным пятикратным чемпионом мира в Формуле 1,Хуан Мануель Фанхио,Ален Прост,Мика Хаккинен,Аертон Сенна,1
Какой из этих живописцев не был портретистом,Фёдор Рокотов,Алексей Саврасов,Дмитрий Левицкий,Владимир Боровиковский,2
У какого из этих музыкальных инструментов меньше всего струн,Домбра,Кобза,Балалайка,Саз,1
Фраза Ешь потей работай мёрзни это,Пословица,Поговорка,Народная мудрость,Завет Ильича,3
Каким прибором измеряют силу тока,Вольтметр,Омометр,Амперметр,Манометр,3
Кому Пушкин посвятил стихотворение Во глубине сибирских руд,Декабристам,Пугачеву,Шахтёрам,Анне Керн,1
Какое из этих животных доводится самым близким родственником зубру,Буйвол,Як,Джейран,Бизон,4
В каком из этих городов состоялись игры Олимпиады 2000,Атланта,Афины,Сидней,Лондон,3
К какому виду программ относятся компьютерные шахматы,Стратегии,Квесты,Шутеры,Симуляторы,4
Как переводится Буэнос Айрес,Голубое небо,Зелёный лес,Xороший воздуx,Солёное озеро,3
Какая сказка Пушкина начинается с числительного,Сказка о рыбаке и рыбке,Сказка о царе Салтане,Сказка о золотом петушке,Сказка о попе и работнике его Балде,2
Что делает мастер зачищая паркет,шпаклюет,малюет,циклюет,ворует,3
Кого или что рисуют художники анималисты,иконы,животных,людей,мультфильмы,2
Из какого мяса делаются традиционные пожарские котлеты,баранина,говядина,свинина,курятина,4
Что можно наблюдать когда все суетятся,огонь помелом,пепел ухватом,сажу лопатой,дым коромыслом,4
Какой цвет не входил в самое непонятное цветовое сочетание да ещё и в крапинку,малиновый,серый,красный,бурый,3
Какой марки был первый автомобиль Владимира Путина,Запорожец,Волга,Москвич,Победа,1
Где в автомобиле находятся форсунки,В салоне,В подвеске,В топливном баке,В двигателе,4
Какой породы был Джим любимый пёс Василия Качалова восхитивший Есенина,Такса,Овчарка,Доберман,Сеттер,3
У этой болезни много названий финикийская болезнь скорбная болезнь крымка ленивая смерть Какая это болезнь,Сибирская язва,Тиф,Проказа,Чума,3
Кто первым совершил в одиночку беспосадочный перелет через Атлантику,Чарлз Линдберг,Рене Поль Фонк,Дэвис,Нунжесер,1
Что из перечисленного не является небесным телом,самолет,луна,солнце,звезда,1
Какой рыцарский орден существует в Великобритании почти триста лет,орден Кухни,орден Погреба,орден Кабинета,орден Бани,4
Название какого прибора само говорит что он лучший,пирометр,конвектор,примус,безмен,3
Из какого материала сделана Венера Милосская,мрамор,бронза,гипс,гранит,1
Кто пел дуэтом в фильме Обыкновенное чудо,Александр и Александра,Эмиль и Эмилия,Валерий и Валерия,Виктор и Виктория,2
Какой город расположен не на Ангаре,Иркутск,Братск,Якутск,Усть Илимск,3
Какой предмет авангардист Марсель Дюшан выставил как произведение искусства под названием Фонтан,писсуар,шприц,садовую лейку,водопроводный кран,1
За что песенка предлагает шофёру держаться крепче,за баранку,за слойку,за ватрушку,за бублик,1
краткое иносказательное нравоучительное произведение,аполог,аполог,аполог,аполог,1
Хуже чего как говорят в народе может надоесть человек,солёной воблы,сладкой ваты,кислой простокваши,горькой редьки,4
Как называется знаменитая советская кинокомедия,Господа чужбины,Пэры победы,Джентльмены удачи,Лорды разлуки,3
Чем кроют крышу строители,шифоньером,калорифером,шифером,матом,3
В каких единицах химики измеряют количество вещества,в пчёлах,в комарах,в молях,в мухах,3
Какие российские военнослужащие официально имеют в рационе алкоголь,прорабы стройбата,космонавты,работники военкоматов,моряки подводники,4
Какой официальный национальный праздник отмечают в Туркмении с 1994 года,День арбуза,День дыни,День персика,День винограда,2
Какой из этих ударов в боксе наносится снизу согнутой рукой чаще всего в подбородок,кросс,апперкот,джеб,хук,2
Как называют человека который утром чувствует себя бодрее чем вечером,Сова,Петух,Феникс,Жаворонок,4
Как в математике называется число квадрат которого равен 1,Странная единица,Исключительная единица,Мнимая единица,Незаконная единица,3
Кто из этих сказочных персонажей периодически сносил золотые яйца,Крокодил Гена,Курочка Ряба,Черепаха Тортилла,Гадкий Утенок,2
Как звали французского революционера XVIII века Робеспьера,Жан Жак,Жорж Жак,Максимилиан,Оноре Габриэль,3
Какой актер в трилогии Андре Юнебеля скрывался под маской Фантомаса,Жан Маре,Жан Габен,Аллен Делон,Пьер Ришар,1
Сигнал на российских морских пляжах означает запрет на купание,Черный флаг,Желтый шар,Черный шар,Желтый флаг,3
Чье имя носит международный конкурс актерской песни,Юрия Никулина,Анаталоия Папанова,Евгения Леонова,Андрея Миронова,4
Что такое ахиллесова пята,Сильный аргумент,Уязвимое место,Удар в каратэ,Размер ноги,2
Что оценивают по шкале Бофорта,Высоту волны,Силу землетрясения,Твердость минералов,Силу ветра,4
По улице ходила Кто с песенки,Зеленая кобыла,Невеста Автандила,Зубастая горилла,Большая крокодила,4
Как называется серия энциклопедий издательства АСТ,Я узнаю мир,Все о мире,Я незнаю мир,Я познаю мир,4
В какой стране необходимо побывать чтобы отдохнуть в Анталье,В Турции,В Египте,В Колумбии,В США,1
Из какого злака делается пшено,Просо,Овес,Ячмень,Пшеница,1
Как называется японское искусство аранжировки цветов,Оригами,Бонсаи,Икебанэ,Батик,3
Что изобрёл в XIX веке англичанин Джордж Стефенсон,Пароплан,Паровоз,Парашют,Пароход,2
Кто из этих российских хоккеистов не включен в Зал хоккейной славы,Игорь Ларионов,Павел Буре,Алексей Ковалёв,Вячеслав Фетисов,3
Кем был американец Джозеф Глидден получивший в 1874 году патент на изобретение колючей проволоки,кузнецом,архитектором,военным,фермером,4
Какого вида акул не существует,лимонная,тигровая,кошачья,черная,4
По какому маршруту следует фирменный поезд Лев Толстой,Самара Москва,Псков Москва,Москва София,Москва Хельсинки,4
Как назвалась станция где окончил свою жизнь Лев Толстой,Щёкино,Белево,Астапово,Волово,3
Какими словами в романе Пушкина начинается письмо Онегина к Татьяне,Я знаю всё,Скажу Вам всё,Предвижу всё,Я понял всё,3
Какой тип природной зоны можно наблюдать в североамериканской прерии,Пустыня,Болото,Лес,Степь,4
Какой из островов не относится к Курильской гряде,Экарма,Расшуа,Монерон,Кетой,3
С чем канцлер Германской империи Отто фон Бисмарк сравнивал колбасу,С политикой,С театром,С наукой,С бездельем,1
В какую эпоху обитал питекантроп,Неолит,Считается что питекантроп обитал в эпоху нижнего палеолита 2 6 млн 150 тыс лет до н э Современные исследователи не склонны считать питекантропа предком современного человека По всей видимомсти он представляет собой дальнюю и изолированную популя,Мезолит,Эпипалеолит,2
средство ухода за мебелью,крем,лак,полироль,вода,3
Назовите высоту вышки в соревнованиях по прыжкам в воду,12 метров,8 метров,10 метров,5 метров,3
Какая из перечисленных стран не входит в Еврозону,Дания,Нидерланды,Люксембург,Ирландия,1
По какой из этих карточных игр регулярно проводятся чемпионаты мира,Бридж,Покер,Преферанс,Девятка,1
Какой титул носит супруг королевы Великобритании Елизаветы II,Барон,Князь,Граф,Герцог,4
Кого прозвали рыцарем без страха и упрёка,Пьер Террайль де Баярд,Жан ле Менгр Бусико,Жак де Моле,Ульрих фон Лихтенштейн,1
Какой цвет Андрей Рублев не использовал при написании Троицы,Коричневый,Синий,Красный,Желтый,3
Сколько океанов омывает территорию США,два,три,четыре,один,2
Какое настоящее имя Леси Украинки,Валя,Люда,Лариса,Вера,3
Какой из этих драгоценных камней не является как три остальных разновидностью берилла,Хризолит,Изумруд,Гелиодор,Аквамарин,1
Кто из этих шахматистов никогда не был чемпионом мира,Корчной,Смыслов,Фишер,Карпов,1
Как часто называют тонкую строганую доску,паровозка,вагонка,рельсовка,шпалка,2
От какого женского имени происходит уменьшительное имя Нюра,Ирина,Глафира,Анна,Нина,3
Что должно быть у камня чтобы его назвали куриным богом,сквозное отверстие,включение горного хрусталя,крестообразные прожилки,отпечаток древнего существа,1
Где используется индийская защита,в шахматах,в кунг фу,в фортификации,в стоматологии,1
Какой страной не правит монарх,Бельгия,Испания,Нидерланды,Португалия,4
Кто из бесовской четвёрки первым появился на страницах романа Мастер и Маргарита,Воланд,Азазелло,кот Бегемот,Коровьев,4
Что японки до начала ХХ века традиционно делали с зубами для красоты,наращивали резцы,чернили,тавили золотые коронки,вырывали верхние клыки,2
В каком австрийском городе находится аэропорт Голубой Дунай,Линц,Вена,Инсбрук,Грац,1
Как называется положение принимаемое без логического доказательства в силу непосредственной убедительности,Лемма,Статус кво,Алогизм,Аксиома,4
В какой стране денежная единица называется денар,Сербия,Хорватия,Македония,Словения,3
Чему Николай Гоголь посвятил такие строки Боже Как ты хороша подчас Сколько раз как погибающий и тонущий я хватался за тебя и ты всякий раз меня великодушно выносила и спасала,Соломинке,Лодке,Дороге,Русской женщине,3
Продолжите знаменитую фразу Гоголя Какой же русский не любит быстрой,Еды,Выгоды,Реки,Езды,4
Что по мнению Николая Гоголя является второй после дураков бедой России,Дороги,Бюрократы,Мосты,Взяточники,1
Как Гоголь определил жанр своего произведения Мёртвые души,Роман в стихах,Поэма в прозе,Научный трактат,Современная былина,2
Как заканчивается фраза Гоголя Чуден Днепр,Для редкой птицы,Во время разлива,При тихой погоде,Без Днепрогэса,3
Как называется повесть Гоголя Ночь перед,Экзаменом,Рождеством,Расстрелом,Женитьбой,2
Кого оседлал гоголевский кузнец Вакула,Водяного,Лешего,Чёрта,Кикимору,3
Какой памятник был установлен в Санкт Петербурге,Носу майора Ковалёва,Трубке Тараса Бульбы,Шинели Башмачкина,Бричке Чичикова,1
Назовите головной убор гоголевского Чичикова,Цилиндр,Берет,Картуз,Шапка ушанка,3
Что случилось с шинелью Акакия Акакиевича Башмачкина в повести Гоголя,Износили соседи,Похитили грабители,Забрали кредиторы,Съела моль,2
Где маленький Иван Крылов обучался грамоте арифметике и молитвам,В церковно приходской школе,В пансионе,В лицее,Дома,4
В каком качестве Иван Андреевич Крылов начал свою литературную деятельность,Критика,Переводчика,Драматурга,Фантаста,3
Какой литературный псевдоним имел Иван Андреевич Крылов,Нави Волырк,Человек без селезёнки,Брат моего брата,Антоша Чехонте,1
В работе над каким произведением Пушкину очень помогли детские воспоминания баснописца Крылова сына боевого офицера,Капитанская дочка,Медный всадник,Полтава,Кавказский пленник,1
Как называлось первое произведение Крылова написанное им в 15 лет,Кофейница,Сахарница,Сухарница,Молочница,1
Сколько басен было написано Крыловым,Около 150,Около 200,Около 100,Около 50,2
Как называлась последняя басня написанная Крыловым,Похороны,Вельможа,Лев состарившийся,Бедный богач,2
За что в 1820 году Крылов получил орден св Владимира 4 й степени,За издание 6 томов басен,Зв написание оперы Илья Богатырь,За журналистскую деятельность,За составление каталога русских книг,4
Кто автор памятника Крылову в Летнем саду Санкт Петербурга,Опекушин,Клодт,Витали,Фальконе,2
Сколько басен Ивана Крылова показаны скульптором Клодтом на пьедестале памятника баснописцу в Летнем саду,Тридцать шесть,Двадцать четыре,Двенадцать,Пять,1
На каком известном памятнике можно увидеть фигуру писателя Крылова,Родина мать,Александровская колонна,Тысячелетие России,Царь колокол,3
Каким музыкальным инструментом виртуозно владел баснописец Крылов,Аккордеон,Труба,Скрипка,Орган,3
В день пятидесятилетия творческой деятельности Ивана Андреевича Крылова Пётр Вяземский назвал его так как до сих пор его называем все мы Как,Дедушка Крылов,Солнце русской поэзии,Дядя Ваня,Эзопов сын,1
Без чего не приготовить популярную начинку для шоколадных конфет пралине,без нуги,без шоколада,без карамели,без орехов,4
Какая из этих звезд находится в созвездии Южного Креста,Шаула,Акрукс,Ахернар,Хадар,2
Какой из этих воинских чинов не является казачьим,Хорунжий,Ротмистр,Есаул,Вахмистр,2
Отцом чего называют Норберта Винера,атомной бомбы,бодибилдинга,кибернетики,воздухоплавания,3
Кого боится арахнофоб,Пауков,Змей,Тараканов,Клещей,1
Чего боится амаксофоб,Управлять автомобилями,Управлять самолётами,Управлять поездами,Управлять кораблями,1
Где проходил чемпионат мира по футболу в 1982 году,Италия,Мексика,Франция,Испания,4
Чемпион мира по футболу в 1982 году,Испания,Италия,Англия,Бразилия,2
Чемпион мира по футболу 1982 года,Уругвай,Франция,Англия,Италия,4
Первый в истории футболист выигравший чемпионат мира в 40 лет,Дзофф,Дзофф,Дино Дзофф,Капитан Италии Дино Дзофф,3
Какая из этих стран не входит в Британское содружество,Кения,Таиланд,Канада,Багамы,2
Кто написал картину Утро в сосновом лесу,Иван Иванович Шишкин и Константин Аполлонович Савицкий Савицкий написал медведей,Иван Иванович Шишкин и Константин Аполлонович Савицкий,Иван Шишкин и Константин Савицкий,Шишкин и Савицкий,1
Кто из этих президентов независимых государств не был в советские времена 1 м секретарем ЦК КП соответствующей республики,Ниязов,Акаев,Назарбаев,Алиев,2
Какую влюблённую парочку можно увидеть на центральной площади Киева,люки,киоски,фонари,автобусы,3
Дата договора между Российской Федерацией и Республикой Крым о принятии в Российскую Федерацию Республики Крым и образовании в составе Российской Федерации новых субъектов,20 марта 2013 года,23 марта 2014 года,18 марта 2015 года,18 марта 2014 года,4
Какой японский футболист первым сыграл в итальянской Серии А,Миура,Казуёси Миура,Казуйоси Миура,Кадзуйоси Миура,3
Какой клуб никогда не переходил в итальянскую футбольную Серию В,Интернационале,Интер,Интер Милан,Интернационале он же Интер Милан,4
Какие футбольные клубы в Испании по пять раз делали дубль выигрывали и чемпионат Испании и Кубок Испании,Атлетик Бильбао и Барселона,Барселона и Атлетик Бильбао,Барселона и Атлетик Бильбао,Атлетик Бильбао и Барселона,4
Что делает рыба хватая наживку,щиплет,клюёт,гложет,рвёт и мечет,2
Как в СССР называлась организация созданная на добровольных началах для выдачи её членам беспроцентных ссуд,касса взаимовыручки,касса взаимосвязи,касса взаимопомощи,касса взаимопонимания,3
Чего не было у героя известной песни Вот кто то с горочки спустился,погон,гимнастёрки,ордена,портупеи,4
Кто из поэтов не снимался в художественных фильмах,Владимир Маяковский,Сергей Есенин,Белла Ахмадулина,Евгений Евтушенко,2
В 1999 и 2003 году чемпионаты мира по футболу среди женщин проводились в СШ Турнир 2003 года должен был проводиться в Китае однако организаторы приняли решение о переносе В связи с чем,В связи с эпидемией атипичной пневмонии в Азии,в связи с эпидемией пневмонии,в связи с эпидемией,с эпидемией,1
Как в спорте называется прохождение дистанции гребцами,забег,заплыв,заброс,заезд,4
Слюна какой из этих желёз более богата муцином,подчелюстная,околоушная,подъязычная,поджелудочная,3
Какая страна присоединилась к ЕС в 2007 году,Чехия,Словакия,Кипр,Болгария,4
Как по книжному называется человеконенавистник,Гомофоб,Антропофаг,Мизантроп,Интроверт,3
Какое из этих заболеваний не относится к группе прионных болезней,Сап,Куру,Коровье бешенство,Скрейпи,1
Что из этих зарослей является также названием большого серого дрозда,Рябинник,Ольховник,Орешник,Ракитник,1
Какой из биологических ядов является самым сильным,Токсин рыбы фугу,Столбнячный токсин,Токсин ботулизма,Токсин дифтерии,3
Первый финал чемпионата Европы по футболу между СССР и Югославией прошедший в Париже в 1960 году закончился в дополнительное время со счётом 2 1 Кто забил победный гол,Понедельник,Виктор Владимирович Понедельник,Понедельник,Виктор Понедельник,2
Первый финал чемпионата Европы по футболу между СССР и Югославией прошедший в Париже в 1960 году закончился в дополнительное время со счётом 2 1 Кто забил второй гол в этом матче,Метревели,Метревели,Слава Метревели,Слава Калистратович Метревели,4
Сборные из числа выигрывавших чемпионат Европы по футболу но не добивавшиеся успеха на своей родной земле,Германия и Нидерланды,Германия и Голландия,Нидерланды и Германия,Голландия и Германия,1
Какая часть отсутствует в кинотрилогии Кништофа Кислевского Три цвета,синий,белый,красный,зеленый,4
Что такое антрацит,слюда,уголь,газ,торф,2
Какие звуки издаёт мода,Писк,Хрип,Рык,Визг,1
Чем вооружен каждый из игроков в кёрлинг,специальной щеткой,щеткой,щёткой,специальной щёткой,2
Какой футбольной команде удалось выиграть Лигу Чемпионов 2005 года завершив половину матча со счётом 3 0 но сравнять счёт забив 3 гола во втором тайме и потом забив 3 решающих гола пенальти в серии пенальти победить в игре против ФК Милан,Ливерпуль,Ювентус,Бавария,Барселона,1
Какой французский футбольный клуб стал первым французским победителем футбольной Лиги Чемпионов в 1993 году,Пари Сен Жермен,Лион,Лилль,Олимпик Марсель,4
Кто в 1998 году в финале Чемпионата Мира по футболу дважды забил гол первый в игре своей национальной сборной,Эмманюэль Пети,Лилиан Тюрам,Тьерри Анри,Зинедин Зидан,4
Какой из игроков никогда не принимал участие в Кубке Мира по футболу Райан Гиггз Лоран Блан Андрей Шевченко Златко Захович,Лоран Блан,Андрей Шевченко,Райан Гиггз,Златко Захович,3
За какого футболиста клуб заплатил самую высокую трансферную плату в 97 миллионов евро,Лионель Месси,Зинедин Зидан,Гарет Бейл,Криштиано Роналдо,4
В каком городе княжил Рюрик,Киев,Смоленск,Суздаль,Новгород,4
Какой игрок Мюнхенской Баварии не играл в финале Лиги Чемпионов 2010 года Марк ван Боммель Марио Гомез Франк Рибери Арьен Роббен,Марк ван Боммель,Марио Гомез,Арьен Роббен,Франк Рибери,4
Хакан Шукюр забил самый быстрый гол на чемпионате мира по футболу Турция против Корейской Республики 22 июня 2002 Сколько времени это заняло,29 сек,42 сек,11 сек,5 сек,3
Кто из этих футболистов никогда не играл в составе футбольного клуба Ювентус Эдгар Давидс Роберто Баджо Юрген Клинсман Тьерри Анри,Эдгар Давидс,Юрген Клинсман,Роберто Баджо,Тьерри Анри,2
Какая футбольная команда выиграла в большинстве чемпионатов в Кубке Африки Камерун Египет Нигерия Кот д Ивуар,Египет,Камерун,Кот д Ивуар,Нигерия,1
Какая футбольная команда Английской Премьер Лиги оставалась непобеждённой на протяжении 49 матчей подряд установив таким образом новый рекорд,Манчестер Юнайтед,Челси,Арсенал,Ливерпуль,3
1 я и пока единственная футбольная команда которой удалось избежать поражений во всех матчах чемпионата в Премьер лиге 2003 2004 и 2 я в истории высших дивизионов чемпионата Англии До этого без поражений сыграл лишь Престон Норт Энд в 1889 году,Арсенал,Манчестер Юнайтед,Челси,Ливерпуль,1
Какую фамилию носит один из персонажей комедии Николая Васильевича Гоголя Женитьба,Омлет,Яичница,Гоголь Моголь,Смятка,2
Какой цвет в старину называли червонным,Белый,Жёлтый,Чёрный,Красный,4
Какого города нет в России,Белосопкинск,Белогорск,Беломорск,Белозёрск,1
Что делает каждый посетитель национального парка США в Орегоне перед началом экскурсии,Обрызгивается аэрозолем,Надевает сапоги,Встаёт на ходули,Сдаёт фотоаппаратуру,1
Какой тип галактик является промежуточным между спиральными и эллиптическими,Карликовые галактики,Галактики с перемычкой,Неправильные галактики,Линзовидные галактики,4
Какая из этих звезд больше по диаметру,Альдебаран,Артур,Ригель,Антарес,4
Как звали бабуина в известном мультфильме Король Лев,Рафики,Рафики,Рафики,Рафики,1
К чему согласно поговорке прилагается кнут в процессе воспитания,К дневнику,К пончику,К блинчику,К прянику,4
Столица Сан Томе и Принсипи,Принсипи,Валли,Писи,Сан Томе,4
В каком месяце 1941 года японская авиация напала на Пёрл Харбор,Сентябрь,Октябрь,Декабрь,Ноябрь,3
Первый микадо император Японии,Акихито,Мецо,Дзимутенно,Дзюи,3
Одне з найб льших м ст Япон п сля Ток о,Йокогама,Кавасак,Саппоро,Нагасак,1
Вкаж ть спец ал зовану м жнародну орган зац ю що займа ться продовольчою проблемою у св т,ФАО,МВФ,ЮНЕСКО,НАТО,1
Вкаж ть яка з перел чених кра н св ту не конституц йною монарх ю,Япон я,Швец я,Ватикан,Бельг я,3
Вкаж ть дине м сце в вроп де водяться маготи безхвост мавпи,Родопи,Борнгольм,Прага,Г бралтар,4
что такое рапапа ту найт,тусовка,минусовка,танцпол,зажигать,1
Какое из этих слов не обозначает никакой материальной субстанции,Озон,Бизон,Вазон,Резон,4
На гербе какого субъекта Российской федерации изображен сам этот субъект окруженный синим фоном,Камчатская область,Адыгея,Сахалинская область,Калининградская область,3
Что из этого является окороком,Плечо,Голень,Икра,Бедро,4
Какой из этих алмазов крупнее,Низами,Красный крест,Джонкер,Кимберли,3
Какого народа не существует,Германошвейцарцы,Шведофинны,Франкоканадцы,Италошвейцарцы,2
Где находится МЕНИСК,в ухе,в локте,в колене,в головном мозге,3
Что используют недобросовестные спортсмены для улучшения результатов,Допинг,Моторчик,Скипидар,Колдовство,1
Какое изображение можно увидеть на карте джокер,Шут с бубенчиками,Воин с алебардой,Король со скипетром,Банкир с сейфом,1
Как иначе ботаники называют репейник,Чертополох,Лопух,Полынь,Мята,2
Кто из евангелистов написал Апокалипсис,Лука,Иоанн,Марк,Матфей,2
Какое из этих слов не является названием тригонометрической функции,Котангенс,Косинус,Косеканс,Коллапс,4
Памятник из какого материала со временем может покрыться патиной и позеленеть,Из гранита,Из мрамора,Из гипса,Из Бронзы,4
Каким из этих приборов можно измерить кровяное давление,Барометр,Тонометр,Пирометр,Термометр,2
Какой из этих персонажей сначала был мультипликационным а затем стал литературным героем,Карлсон,Капитан Врунгель,Попугай Кеша,Доктор Айболит,3
Какой из этих танцев не является польским,Полька,Полонез,Мазурка,Краковяк,1
Как в математике называется зависимость одной переменной от другой,Пропорция,Функция,Индукция,Уравнение,2
Как называется геометрическая фигура состоящая из множества точек расположенных на заданном расстоянии от заданной точки,Окружность,Прямая,Треугольник,Квадрат,1
Какую комнату бесследно пропавшую из России во время войны до сих пор не могут отыскать,Жемчужную,Алмазную,Янтарную,Коммунальную,3
Главный бог инков,Марс,Луна,Юпитер,Солнце,4
Основатель Римской Империи,Сентябрь,Май,Июнь,Август,4
В какой стране произошло восстание под руководством ремесленника Уота Тайлера,Франция,Германия,США,Англия,4
Самая крупная из современных рыб,Китовая акула,Кит,Рыба молот,Тигровая акула,1
В какой сказке Пушкина девушка превращалась в лебедь,О медведихе,О золотом петушке,О царе Салтане,О рыбаке и рыбке,3
Сколько цифр в разряде десятков миллионов,Три,Пять,Четыре,Семь,4
Кличка коня Дон Кихота,Буцефал,Дронапарва,Команч,Росинант,4
Сколько музыкальных ключей существует,Два,Четыре,Один,Три,4
Как переводится с греческого слово мелодия,Пение,Пою,Вальс,Извлечение звука,1
Учёный доказывающий происхождение человека от обезьяны,Петер Дебай,Клод Шеннон,Поль Дирак,Дарвин,4
В какой стране родился Николай Коперник,Австрия,Венгрия,Румыния,Польша,4
Какой титул имел правитель Ирана до свержения монархии в середине 20 го века,Шахиншах,Падишах,Эмир,Султан,1
Какого предмета одежды не существует,биатлонка,тенниска,футболка,бейсболка,1
Какой географический объект не имеет отношения к морю,Канин Нос,Онежская дуга,Кривой Рог,Куршкая коса,3
Как звали героя романа Пастернака Доктор Живаго,Юрий,Леонид,Борис,Владимир,1
В каком рукоделии используются пяльцы,шитье,вязание,вышивание,бисероплетение,3
С какими животными предпочитал охотиться русский царь Алексей Михайлович,медведи,соколы,собаки,леопарды,2
Какая из этих мер длины наименьшая,сажень,локоть,верста,аршин,2
Что такое батат,сладкий картофель,сладкий лук,сладкий морковь,сладкая капуста,1
Какой из этих терминов не имеет отношения к боксу,кросс,пассаж,джеб,хук,2
Какая деталь отсутствует у церковного колокола,щёки,язык,голова,ухо,1
В каком фильме ещё в 1975 году прозвучала песня Ты или я в исполнении Машины времени,Не может быть,Сладкая женщина,Старший сын,Афоня,4
В какой стране высший футбольный дивизион не называется Премьер лига,Англия,Украина,Франция,Россия,3
Первый фильм Мэрилин Монро,Хористки,Билет в Томагавк,Счастливая любовь,Опасные годы,4
К какому семейству относятся волки,Псовые,Кошачьи,Грызуны,Лисьи,1
Размеры и масса тела волка зависит от климатического пояса и соответствуют правилу,Павлова,Дарвина,Линнея,Бергмана,4
Как в народе называется хвост волка,Палка,Полено,Хворост,Дрова,2
Как называют волка за его роль в экологии,Врач,Санитар,Доктор,Фельдшер,2
У волков отсутствует чувство обоняния,Да,Не знаю,Возможно,Нет,4
На шлеме какого вратаря погибшего с командой в авиакатастрофе были изображены волки,Вьюхин,Кирюхин,Черепанов,Ткаченко,1
Футболисты какого футбольного клуба носят прозвище Волки,Лацио,Интер,Ювентус,Рома,4
Как называется одна из книг Германа Гессе,Лесной волк,Морской волк,Степной волк,Бурый волк,3
Портрет какой царственной особы впервые отчеканен в России на металлических монетах,Петра I,Екатерины I I,Ивана IV Грозного,Бориса Годунова,1
Какие деньги в обиходной речи во время гражданской войны назывались колокольчиками,золотые николаевские рубли,нет верного ответа,бумажные казначейские билеты,облигации Займа свободы,3
